Division,District,Revenue,Account Period
Southeast,SE08,39181.76,2/1/2024
Southeast,SE07,51740.02,2/1/2024
MidWest,CE01,34092.56,1/1/2024
MidWest,WE05,871.9,2/1/2024
MidWest,CE04,4290.39,2/1/2024
Southeast,SE06,24899.21,2/1/2024
Southeast,SE01,1715,1/1/2024
Northeast,NE04,30554.68,2/1/2024
Northeast,NE07,9604.02,1/1/2024
MidWest,CE04,6886.38,1/1/2024
Northeast,NE06,17669.94,1/1/2024
Southeast,SE04,10026.65,1/1/2024
Northeast,NE06,15127.24,2/1/2024
Southeast,SE01,6211.17,2/1/2024
MidWest,WE04,,1/1/2024
Southeast,SE06,35977.14,1/1/2024
Northeast,NE07,9022.42,2/1/2024
MidWest,CE03,15914.57,1/1/2024
MidWest,CE09,15081.39,2/1/2024
MidWest,CE05,14403.55,2/1/2024
MidWest,CE01,22999.48,2/1/2024
Southeast,SE02,8635.04,1/1/2024
Southeast,SE05,2363.46,1/1/2024
MidWest,CE08,1162,1/1/2024
Northeast,NE01,15881.43,2/1/2024
Southeast,SE03,17368.65,2/1/2024
Northeast,NE03,9224.5,2/1/2024
MidWest,WE05,1484.85,1/1/2024
MidWest,WE02,15913.29,1/1/2024
MidWest,CE03,23039.92,2/1/2024
Northeast,NE04,26069.93,1/1/2024
Northeast,NE01,16964.15,1/1/2024
MidWest,CE09,25295.26,1/1/2024
MidWest,WE06,8495.33,2/1/2024
Southeast,SE05,2333.69,2/1/2024
Southeast,SE08,61772.6,1/1/2024
MidWest,CE07,175302.38,1/1/2024
MidWest,CE08,1145.68,2/1/2024
MidWest,CE05,18100.23,1/1/2024
MidWest,WE02,13153.94,2/1/2024
Southeast,SE02,8833.69,2/1/2024
MidWest,CE06,24253.07,1/1/2024
MidWest,CE02,23550.14,2/1/2024
Northeast,NE03,12005.95,1/1/2024
Southeast,SE04,13931.45,2/1/2024
Southeast,SE07,57174.83,1/1/2024
Southeast,SE03,21569.46,1/1/2024
MidWest,CE06,24990.61,2/1/2024
MidWest,CE02,25284.54,1/1/2024
MidWest,CE07,144932.34,2/1/2024
Southeast,SE99,,1/1/2024
MidWest,WE06,5371.97,1/1/2024
